nameKo,nameEn,years,quoteEn,quoteKo
지미 헨드릭스,Jimi Hendrix,1942–1970,"I'm the one that's got to die when it's time for me to die, so let me live my life the way I want to.","죽을 때가 되면 죽어야 하는 건 나니까, 내가 원하는 대로 살게 해줘."
데이비드 보위,David Bowie,1947–2016,"I don't know where I'm going from here, but I promise it won't be boring.","여기서 어디로 갈지 모르겠지만, 지루하지는 않을 것을 약속한다."
데이비드 보위,David Bowie,1947–2016,I always had a repulsive need to be something more than human.,나는 항상 인간 이상의 무언가가 되고자 하는 혐오스러운 욕구가 있었다.
데이비드 보위,David Bowie,1947–2016,Tomorrow belongs to those who can hear it coming.,내일은 그것이 오는 것을 들을 수 있는 자의 것이다.
프레디 머큐리,Freddie Mercury,1946–1991,I won't be a rock star. I will be a legend.,나는 록스타가 되지 않을 것이다. 나는 전설이 될 것이다.
프레디 머큐리,Freddie Mercury,1946–1991,"The reason we're successful, darling? My overall charisma, of course.",우리가 성공한 이유? 물론 나의 전반적인 카리스마지. (유머)
프레디 머큐리,Freddie Mercury,1946–1991,"I dress to kill, but tastefully.","나는 죽이게 차려입지만, 품위 있게."
엘비스 프레슬리,Elvis Presley,1935–1977,"When things go wrong, don't go with them.","일이 잘못될 때, 함께 잘못되지 마라."
엘비스 프레슬리,Elvis Presley,1935–1977,Ambition is a dream with a V8 engine.,야망은 V8 엔진을 단 꿈이다.
엘비스 프레슬리,Elvis Presley,1935–1977,I don't know anything about music. In my line you don't have to.,나는 음악에 대해 아무것도 모른다. 내 분야에서는 알 필요가 없다. (자조적 유머)
미크 재거,Mick Jagger,1943 ~,"It's all right letting yourself go, as long as you can get yourself back.",자신을 놓아주는 것은 괜찮다. 다시 찾을 수 있기만 하면.
미크 재거,Mick Jagger,1943 ~,Lose your dreams and you might lose your mind.,꿈을 잃으면 정신을 잃을 수도 있다.
키스 리처즈,Keith Richards,1943 ~,Music is a language that doesn't speak in particular words. It speaks in emotions.,음악은 특정 단어로 말하지 않는 언어이다. 감정으로 말한다.
키스 리처즈,Keith Richards,1943 ~,I've never had a problem with drugs. I've had problems with the police.,나는 마약에 문제가 있었던 적이 없다. 경찰에 문제가 있었다. (뻘소리 명언)
레이 찰스,Ray Charles,1930–2004,"Music is my life, it is a reflection of what I go through.",음악은 내 삶이다. 그것은 내가 겪는 것의 반영이다.
레이 찰스,Ray Charles,1930–2004,I was born with music inside me. Music was one of my parts.,나는 음악을 안고 태어났다. 음악은 나의 일부였다.
스티비 원더,Stevie Wonder,1950 ~,"Music, at its essence, is what gives us memories.",음악은 본질적으로 우리에게 기억을 주는 것이다.
스티비 원더,Stevie Wonder,1950 ~,Just because a man lacks the use of his eyes doesn't mean he lacks vision.,눈을 사용할 수 없다고 해서 비전이 없는 것은 아니다.
아레사 프랭클린,Aretha Franklin,1942–2018,"Music does a lot of things for a lot of people. It's transporting, for sure.",음악은 많은 사람들에게 많은 것을 한다. 확실히 다른 세계로 데려다준다.
아레사 프랭클린,Aretha Franklin,1942–2018,"Be your own artist, and always be confident in what you're doing.",자신만의 예술가가 되어라. 그리고 당신이 하는 일에 항상 자신감을 가져라.
밥 말리,Bob Marley,1945–1981,"One good thing about music, when it hits you, you feel no pain.","음악의 좋은 점 하나는, 그것이 당신을 칠 때 고통을 느끼지 않는다는 것이다."
밥 말리,Bob Marley,1945–1981,Don't gain the world and lose your soul; wisdom is better than silver or gold.,세상을 얻고 영혼을 잃지 마라. 지혜는 은이나 금보다 낫다.
밥 말리,Bob Marley,1945–1981,"The truth is, everyone is going to hurt you. You just got to find the ones worth suffering for.","진실은, 모든 사람이 당신을 상처 줄 것이라는 것이다. 당신은 고통받을 가치가 있는 사람을 찾아야 한다."
프린스,Prince,1958–2016,A strong spirit transcends rules.,강한 정신은 규칙을 초월한다.
프린스,Prince,1958–2016,"Despite everything, no one can dictate who you are to other people.","모든 것에도 불구하고, 아무도 당신이 누구인지 다른 사람에게 지시할 수 없다."
프린스,Prince,1958–2016,Cool means being able to hang with yourself.,쿨하다는 것은 자기 자신과 함께할 수 있다는 것이다.
안토니오 비발디,Antonio Vivaldi,1678–1741,"There are no words here, there is only music.","여기에는 말(단어)이 없다, 오직 음악만 있을 뿐이다."
안토니오 비발디,Antonio Vivaldi,1678–1741,"If you don't like this, I'll stop writing music.",이것마저 마음에 안 들면 나 이제 음악 안 만들란다.
게오르크 프리드리히 헨델,George Frideric Handel,1685–1759,I should be sorry if I only entertained them; I wished to make them better.,내가 사람들을 그저 즐겁게만 해주었다면 유감일 것이다. 나는 그들을 더 나은 사람으로 만들고 싶었다.
게오르크 프리드리히 헨델,George Frideric Handel,1685–1759,"Whether I was in my body or out of my body when I wrote it, I know not. God knows.",내가 그걸 썼을 때 내 몸 안에 있었는지 몸 밖에 있었는지 나는 모른다. 하나님만이 아신다.
아널드 쇤베르크,Arnold Schoenberg,1874–1951,"If it is art, it is not for all, and if it is for all, it is not art.","예술이라면 대중을 위한 것이 아니고, 대중을 위한 것이라면 예술이 아니다."
아널드 쇤베르크,Arnold Schoenberg,1874–1951,"My music is not lovely, but I don't intend it to be.",내 음악은 사랑스럽지 않다. 그리고 난 그렇게 만들 생각도 없다.
존 케이지,John Cage,1912–1992,I can't understand why people are frightened of new ideas. I'm frightened of the old ones.,사람들이 왜 새로운 아이디어를 두려워하는지 이해할 수 없다. 나는 옛것들이 두렵다.
존 케이지,John Cage,1912–1992,Everything we do is music.,우리가 하는 모든 행동이 음악이다.
존 케이지,John Cage,1912–1992,There is no such thing as silence. Something is always happening that makes a sound.,침묵이라는 것은 존재하지 않는다. 소리를 만들어내는 무언가가 항상 일어나고 있다.
에릭 사티,Erik Satie,1866–1925,"The musician is perhaps the most modest of animals, but he is also the proudest.","음악가는 아마 동물 중 가장 겸손하겠지만, 동시에 가장 오만할 것이다."
에릭 사티,Erik Satie,1866–1925,"Before I compose a piece, I walk around it several times, accompanied by myself.","나는 곡을 쓰기 전에, 나 자신을 동반하고 그 곡 주변을 몇 번이고 산책한다."
에릭 사티,Erik Satie,1866–1925,"If you want to live long, live poor and without ambition.","오래 살고 싶다면 가난하게, 야망 없이 살아라."
에릭 사티,Erik Satie,1866–1925,"Although our intellect is always functioning, it is really doing very little.","우리의 지성이 언제나 작동하고 있긴 하지만, 실제로 하는 일은 거의 없다."
드미트리 쇼스타코비치,Dmitri Shostakovich,1906–1975,A creative artist works on his next composition because he was not satisfied with his previous one.,창조적인 예술가가 다음 곡을 작업하는 이유는 이전 곡에 만족하지 못했기 때문이다.
드미트리 쇼스타코비치,Dmitri Shostakovich,1906–1975,Waiting for execution is one of the themes that has tormented me all my life.,처형을 기다리는 것은 평생 나를 괴롭혀온 테마 중 하나이다.
모리스 라벨,Maurice Ravel,1875–1937,The only love affair I ever had was with music.,내가 해본 유일한 연애는 음악과의 연애뿐이었다.
모리스 라벨,Maurice Ravel,1875–1937,I don't need to express my feelings; I just write notes.,내 감정을 표현할 필요는 없다. 난 그저 음표를 적을 뿐이다.
글렌 굴드,Glenn Gould,1932–1982,"The purpose of art is not the release of a momentary ejection of adrenaline but rather the gradual, lifelong construction of a state of wonder and serenity.","예술의 목적은 아드레날린의 일시적인 분출이 아니라, 경이로움과 평온함의 상태를 평생에 걸쳐 점진적으로 구축해 나가는 것이다."
글렌 굴드,Glenn Gould,1932–1982,"I shut myself in a room for months, and it’s the closest thing to heaven I know.","몇 달 동안 방에 처박혀 있는 것, 그것이 내가 아는 천국에 가장 가까운 모습이다."
헤르베르트 폰 카라얀,Herbert von Karajan,1908–1989,"If you have achieved everything in your life, you are ready to die.","인생에서 모든 것을 성취했다면, 죽을 준비가 된 것이다."
헤르베르트 폰 카라얀,Herbert von Karajan,1908–1989,The art of conducting consists in knowing when to leave the orchestra alone.,지휘의 기술은 오케스트라를 언제 가만히 내버려 두어야 하는지 아는 데 있다.
필립 글래스,Philip Glass,1937 ~,Music is not a reflection of reality. It is a reality itself.,음악은 현실의 반영이 아니다. 음악 그 자체가 하나의 현실이다.
필립 글래스,Philip Glass,1937 ~,"You practice and you practice and you practice, and then you go on stage and you forget everything.","연습하고, 연습하고, 또 연습하라. 그리고 무대에 올라가면 모든 걸 잊어버려라."
장 시벨리우스,Jean Sibelius,1865–1957,Pay no attention to what the critics say. A statue has never been erected in honor of a critic.,평론가들의 말에 신경 쓰지 마라. 평론가를 기리기 위해 세워진 동상은 어디에도 없다.
아스토르 피아졸라,Astor Piazzolla,1921–1992,"For me, tango was always for the ear rather than the feet.",나에게 탱고는 언제나 발을 위한 것이 아니라 귀를 위한 것이었다.
아람 하차투리안,Aram Khachaturian,1903–1978,Music is a language that does not require translation.,음악은 번역이 필요 없는 언어다.
지오반니 피에를루이지 다 팔레스트리나,Giovanni Pierluigi da Palestrina,1525–1594,Music exalts the human soul; it is the language of the angels.,음악은 인간의 영혼을 고양시킨다. 그것은 천사들의 언어다.
클라우디오 몬테베르디,Claudio Monteverdi,1567–1643,The end of all good music is to affect the soul.,모든 좋은 음악의 목적은 영혼에 영향을 주는 것이다.
헨리 퍼셀,Henry Purcell,1659–1695,Music is the exalted language of the soul.,음악은 영혼의 고결한 언어이다.
장 필립 라모,Jean-Philippe Rameau,1683–1764,Music is a science which must have definite rules.,음악은 명확한 규칙을 가져야만 하는 과학이다.
칼하인츠 슈톡하우젠,Karlheinz Stockhausen,1928–2007,"We need to make music that changes people's minds, not music that just entertains them.","우리는 그저 사람들을 즐겁게 하는 음악이 아니라, 사람들의 정신을 바꾸는 음악을 만들어야 한다."
칼하인츠 슈톡하우젠,Karlheinz Stockhausen,1928–2007,The 9/11 attack was the greatest work of art that exists for the whole cosmos.,9/11 테러는 전 우주에 존재하는 가장 위대한 예술 작품이다.
레너드 번스타인,Leonard Bernstein,1918–1990,"To achieve great things, two things are needed; a plan, and not quite enough time.","위대한 일을 성취하려면 두 가지가 필요하다. 계획, 그리고 약간 모자란 시간."
레너드 번스타인,Leonard Bernstein,1918–1990,"This will be our reply to violence: to make music more intensely, more beautifully, more devotedly than ever before.","이것이 폭력에 대한 우리의 대답이 될 것이다. 이전보다 더 강렬하게, 더 아름답게, 더 헌신적으로 음악을 만드는 것."
커트 코베인,Kurt Cobain,1967–1994,It's better to burn out than to fade away.,서서히 꺼지는 것보다 한 번에 불타버리는 것이 낫다.
커트 코베인,Kurt Cobain,1967–1994,Wanting to be someone else is a waste of the person you are.,다른 사람이 되고 싶어 하는 것은 자신이라는 사람을 낭비하는 것이다.
커트 코베인,Kurt Cobain,1967–1994,Thank you for the tragedy. I need it for my art.,비극에 감사한다. 내 예술에는 비극이 필요하다.
마이클 잭슨,Michael Jackson,1958–2009,"If you wanna make the world a better place, take a look at yourself, and then make a change.","세상을 더 나은 곳으로 만들고 싶다면, 자신을 돌아보고 변화를 시작해라."
마이클 잭슨,Michael Jackson,1958–2009,"Lies run sprints, but the truth runs marathons.","거짓말은 단거리를 달리지만, 진실은 마라톤을 달린다."
마이클 잭슨,Michael Jackson,1958–2009,To give someone a piece of your heart is worth more than all the wealth in the world.,누군가에게 당신의 마음 한 조각을 주는 것은 세상의 모든 부보다 가치 있다.
투팍 샤커,Tupac Shakur,1971–1996,"I'm not saying I'm gonna change the world, but I guarantee that I will spark the brain that will change the world.",내가 세상을 바꿀 거라 말하진 않겠다. 하지만 세상을 바꿀 정신에 불꽃을 일으킬 것임은 보장한다.
투팍 샤커,Tupac Shakur,1971–1996,Reality is wrong. Dreams are for real.,현실이 잘못된 것이다. 꿈이야말로 진짜다.
에미넴,Eminem,1972 ~,You've got to find that inner strength and just pull that shit out of you.,당신은 내면의 힘을 찾아내서 그 빌어먹을 것을 밖으로 끄집어내야 한다.
에미넴,Eminem,1972 ~,"Dealing with backstabbers, there was one thing I learned. They're only powerful when your back is turned.",등 뒤에서 칼을 꽂는 인간들을 상대하며 배운 게 하나 있다. 그들은 당신이 등을 돌리고 있을 때만 강하다는 것이다.
오지 오스본,Ozzy Osbourne,1948 ~,Of all the things I've lost I miss my mind the most.,"내가 잃어버린 모든 것들 중에서, 내 정신머리가 가장 그리워. (매일 약에 취해 살던 시절의 개뻘소리)"
오지 오스본,Ozzy Osbourne,1948 ~,I knew it was time to get off the drugs when I was having long conversations with a horse.,"말(馬)과 진지하게 긴 대화를 나누고 있을 때, 아 이제 마약을 끊을 때가 됐구나 싶었다."
갤러거 형제 - 오아시스,Noel Gallagher / Liam Gallagher,1967 ~ / 1972 ~,"I'm not arrogant, I just think we're the best band in the world.",(노엘) 난 거만하지 않다. 그저 우리가 세계 최고의 밴드라고 생각할 뿐이다.
갤러거 형제 - 오아시스,Noel Gallagher / Liam Gallagher,1967 ~ / 1972 ~,"If I wasn't a musician, I don't know. I’d probably be a god.","(리암) 내가 음악가가 안 됐다면? 글쎄, 아마 신(God)이 되었겠지. (형제가 나란히 내뱉는 개뻘소리)"
갤러거 형제 - 오아시스,Noel Gallagher / Liam Gallagher,1967 ~ / 1972 ~,True perfection has to be imperfect.,(노엘) 진정한 완벽함은 불완전해야 한다.
